Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.45,12
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.48,6
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.61,15
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.51,11
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.39,11
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.52,291
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.50,61
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.40,26
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.34,10
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.66,39
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.55,35
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.21,5
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.37,7
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.35,105
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.45,56
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.34,15
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.36,17
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.27,6
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.35,21
2017-18,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.47,28
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.31,253
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.44,64
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.46,172
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.44,67
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.40,106
2017-18,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.38,93
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.24,29
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Atmospheric Science,Bachelor of Arts,3.61,5
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,2.92,17
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.16,10
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.35,16
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.20,11
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.20,251
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.41,105
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.36,104
2017-18,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.47,236
2017-18,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.28,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.47,117
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.48,656
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian Am & Asian Diasp St,Bachelor of Arts,3.53,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.22,16
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.48,38
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.53,28
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.28,64
2017-18,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.46,168
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies,Bachelor of Arts,3.11,10
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.33,12
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.16,306
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.15,54
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Global Studies,Bachelor of Arts,3.17,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.06,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.58,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.48,62
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.21,238
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.41,67
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.40,412
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.39,267
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.31,284
2017-18,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.15,87
2017-18,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.27,105
2017-18,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.42,290
2017-18,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.27,205
2017-18,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.40,79
2017-18,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.44,60
2017-18,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.43,16
2017-18,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.30,77
2017-18,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.47,93
2017-18,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.37,46
2017-18,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.47,24
2017-18,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Toxicology,Bachelor of Science,3.42,24
2017-18,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.19,15
2017-18,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.39,44
2017-18,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.56,344
2016-17,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.27,95
2016-17,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.30,50
2016-17,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.37,51
2016-17,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.48,69
2016-17,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.31,91
2016-17,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.42,393
2016-17,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Bachelor of Science,3.18,6
2016-17,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering,Bachelor of Science,3.37,13
2016-17,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.33,14
2016-17,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.40,37
2016-17,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.18,30
2016-17,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.31,161
2016-17,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.28,9
2016-17,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.22,106
2016-17,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.28,34
2016-17,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.26,17
2016-17,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Bachelor of Arts,3.54,20
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,3.25,10
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.38,557
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,2.87,11
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.17,174
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.67,14
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.50,218
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.30,141
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.67,53
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.46,12
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.76,5
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.52,18
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.33,8
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.36,9
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.52,265
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.32,54
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.41,25
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.65,9
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.56,41
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.62,6
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.53,39
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.20,5
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.57,11
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.29,88
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.42,69
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,Bachelor of Arts,3.49,6
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.31,17
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.27,9
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Iberian Lang & Lit,Bachelor of Arts,3.64,5
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.51,11
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.35,15
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,Bachelor of Arts,3.51,8
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.56,44
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.31,300
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.51,63
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.43,140
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.37,44
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.44,105
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.41,127
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.26,33
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,2.94,9
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.43,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.29,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.18,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.20,232
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.40,103
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.39,112
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.47,225
2016-17,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.22,8
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.47,94
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.48,615
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian Am & Asian Diasp St,Bachelor of Arts,3.29,8
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.27,6
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.25,31
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,Bachelor of Arts,3.09,6
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.36,18
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.42,40
2016-17,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.52,145
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies,Bachelor of Arts,3.49,5
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.37,9
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.16,261
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.28,41
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.51,12
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.18,5
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.51,68
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.21,226
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.39,57
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.41,367
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.47,350
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.35,248
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.12,84
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.12,141
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.41,238
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.60,7
2016-17,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.28,168
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.45,63
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.46,50
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.43,6
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.38,94
2016-17,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.45,59
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.56,7
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.29,50
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.45,27
2016-17,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Toxicology,Bachelor of Science,3.41,13
2016-17,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.16,22
2016-17,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.23,46
2016-17,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.54,389
2015-16,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Bachelor of Science,3.33,15
2015-16,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.25,103
2015-16,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.23,54
2015-16,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.40,47
2015-16,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.45,72
2015-16,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.30,52
2015-16,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.34,365
2015-16,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major,Bachelor of Science,3.75,5
2015-16,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Bachelor of Science,3.05,6
2015-16,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,Bachelor of Science,3.60,5
2015-16,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering,Bachelor of Science,3.54,6
2015-16,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,Bachelor of Science,3.28,7
2015-16,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.38,17
2015-16,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.42,40
2015-16,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.18,16
2015-16,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.29,185
2015-16,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.04,8
2015-16,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.21,104
2015-16,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.34,43
2015-16,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.49,9
2015-16,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Bachelor of Arts,3.41,17
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,2.80,11
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.27,422
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,2.85,7
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.24,145
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.62,10
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.49,253
2015-16,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.26,131
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.67,63
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.53,13
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.51,18
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.42,7
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.34,15
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.46,275
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.41,58
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.46,30
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.45,13
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.50,38
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.43,8
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.50,36
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.55,5
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.73,8
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.40,79
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.46,85
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.17,13
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.55,8
2015-16,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.42,12
